symbol,name,last_sale,market_cap,ipo_year,sector,sub_industry,nasdaq_url
FDEF,First Defiance Financial Corp.,43.62,391750000.0,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fdef
FFBC,First Financial Bancorp.,24.7,1530000000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc
FFIN,"First Financial Bankshares, Inc.",44.65,2950000000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
THFF,First Financial Corporation Indiana,44.35,540440000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/thff
FFNW,"First Financial Northwest, Inc.",16.62,181680000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/ffnw
FFWM,First Foundation Inc.,25.65,418800000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/ffwm
FGBI,"First Guaranty Bancshares, Inc.",18.2387,138780000.0,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fgbi
FHB,"First Hawaiian, Inc.",29.87,4170000000.0,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/fhb
INBK,First Internet Bancorp,29.1,161010000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/inbk
FIBK,"First Interstate BancSystem, Inc.",37.75,1690000000.0,2010,Finance,Major Banks,http://www.nasdaq.com/symbol/fibk
FRME,First Merchants Corporation,32.1,1310000000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/frme
FMBH,"First Mid-Illinois Bancshares, Inc.",29.75,370610000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbh
FMBI,"First Midwest Bancorp, Inc.",23.09,1880000000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi
FNBC,First NBC Bank Holding Company,8.65,166350000.0,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/fnbc
FNWB,First Northwest Bancorp,14.3,185430000.0,2015,Finance,Banks,http://www.nasdaq.com/symbol/fnwb
FSFG,"First Savings Financial Group, Inc.",40.15,88520000.0,,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fsfg
FSLR,"First Solar, Inc.",33.07,3440000000.0,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr
