symbol,full_name,sector,sub_industry,date_first_added,cik
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,,77476
PKI,PerkinElmer,Health Care,Health Care Equipment & Services,1985-05-31,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,2011-12-19,1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,,78003
PCG,PG&E Corp.,Utilities,MultiUtilities,,1004980
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,2012-05-01,1534701
PNW,Pinnacle West Capital,Utilities,MultiUtilities,,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,1038357
PBI,Pitney-Bowes,Industrials,"Technology, Hardware, Software and Supplies",,78814
PNC,PNC Financial Services,Financials,Banks,1988-04-30,713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,1037038
PPG,PPG Industries,Materials,Diversified Chemicals,,79879
PPL,PPL Corp.,Utilities,Electric Utilities,,922224
PX,Praxair Inc.,Materials,Industrial Gases,1992-07-01,884905
PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,1075531
PFG,Principal Financial Group,Financials,Diversified Financial Services,,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,,80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,,80661
PLD,Prologis,Real Estate,REITs,,1045609
PRU,Prudential Financial,Financials,Diversified Financial Services,,1137774
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,,788784
PSA,Public Storage,Real Estate,REITs,,1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,1984-04-30,822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15,78239
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11,1604778
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,2009-07-01,1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,804328
DGX,Quest Diagnostics,Health Care,Health Care Facilities,,1022079
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,2007-12-21,315852
RTN,Raytheon Co.,Industrials,Aerospace & Defense,,1047122
O,Realty Income Corporation,Real Estate,REITs,2015-04-07,726728
RHT,Red Hat Inc.,Information Technology,Systems Software,2009-07-27,1087423
REGN,Regeneron,Health Care,Biotechnology,2013-05-01,872589
RF,Regions Financial Corp.,Financials,Diversified Financial Services,,1281761
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,2008-12-05,1060391
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,,1275283
RHI,Robert Half International,Industrials,Human Resource & Employment Services,,315213
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,,1024478
COL,Rockwell Collins,Industrials,Industrial Conglomerates,,1137411
ROP,Roper Industries,Industrials,Industrial Conglomerates,2009-12-23,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21,745732
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,884887
R,Ryder System,Industrials,Industrial Conglomerates,1982-12-31,85961
CRM,Salesforce.com,Information Technology,Internet Software & Services,2008-09-15,1108524
SCG,SCANA Corp,Utilities,MultiUtilities,2009-01-02,754737
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1965-03-31,87347
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,2008-07-01,1430602
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,2012-07-02,1137789
SEE,Sealed Air,Materials,Paper Packaging,,1012100
SRE,Sempra Energy,Utilities,MultiUtilities,,1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30,89800
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,2015-07-29,832988
SPG,Simon Property Group Inc,Real Estate,REITs,,1063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12,4127
SLG,SL Green Realty,Real Estate,Office REITs,2015-03-20,1040971
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,1982-09-30,91440
SO,Southern Co.,Utilities,Electric Utilities,,92122
LUV,Southwest Airlines,Industrials,Airlines,1994-07-01,92380
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,2008-06-06,7332
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,,1373835
SPGI,"S&P Global, Inc.",Financials,Diversified Financial Services,,64040
STJ,St Jude Medical,Health Care,Health Care Equipment & Services,1989-11-30,203077
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,1982-09-30,93556
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,,791519
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,,829224
STT,State Street Corp.,Financials,Diversified Financial Services,,93751
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,2008-11-19,861878
SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,,310764
STI,SunTrust Banks,Financials,Banks,1988-05-31,750556
SYMC,Symantec Corp.,Information Technology,Application Software,2003-03-25,849399
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18,1601712
SYY,Sysco Corp.,Consumer Staples,Food Distributors,1986-12-31,96021
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,,1113169
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,1976-12-31,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,2011-10-17,1385157
TGNA,Tegna,Consumer Discretionary,Publishing,1975-12-31,39899
TDC,Teradata Corp.,Information Technology,Application Software,2007-10-01,816761
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,2007-09-27,50104
TXN,Texas Instruments,Information Technology,Semiconductors,,97476
TXT,Textron Inc.,Industrials,Industrial Conglomerates,1978-12-31,217346
COO,The Cooper Companies,Health Care,Health Care Supplies,1916-09-23,711404
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,,47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,,86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,98246
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,,1105705
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1985-09-30,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,1989-04-30,320335
TSS,Total System Services,Information Technology,Internet Software & Services,2008-01-02,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,2014-01-24,916365
TDG,TransDigm Group,Industrials,Aerospace & Defense,1916-06-03,1260221
RIG,Transocean,Energy,Oil & Gas Drilling,2013-10-29,1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,2011-12-21,1526520
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,2013-07-01,1308161
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,2015-09-18,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,,100493
UDR,UDR Inc,Real Estate,Residential REITs,1916-03-07,74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,1916-04-18,1403568
USB,U.S. Bancorp,Financials,Banks,,36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01,1336917
UA.C,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1916-03-25,1336917
UNP,Union Pacific,Industrials,Railroads,,100885
UAL,United Continental Holdings,Industrials,Airlines,2015-09-03,100517
UNH,United Health Group Inc.,Health Care,Managed Health Care,1994-07-01,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,,1090727
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,2014-09-20,1067701
UTX,United Technologies,Industrials,Industrial Conglomerates,,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,2014-09-20,352915
UNM,Unum Group,Financials,Diversified Financial Services,1994-03-01,5513
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,2010-02-08,912615
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,2007-02-12,203527
VTR,Ventas Inc,Real Estate,REITs,2009-03-04,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,,1014473
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08,1442145
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,1983-11-30,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,2013-09-23,875320
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21,1403161
VNO,Vornado Realty Trust,Real Estate,REITs,,899689
VMC,Vulcan Materials,Materials,Construction Materials,,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,104169
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,1618921
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,1976-06-30,1001039
WM,Waste Management Inc.,Industrials,Environmental Services,,823768
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,,1000697
WFC,Wells Fargo,Financials,Banks,1976-06-30,72971
HCN,Welltower Inc.,Real Estate,REITs,2009-01-30,766704
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,2009-07-01,106040
WU,Western Union Co,Information Technology,Internet Software & Services,,1365135
WRK,Westrock Co,Materials,Paper Packaging,,1636023
WY,Weyerhaeuser Corp.,Real Estate,REITs,,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,,106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,,865436
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,1975-03-31,107263
WLTW,Willis Towers Watson,Financials,Insurance Brokers,1916-01-05,1140536
WEC,Wisconsin Energy Corporation,Utilities,Electric Utilities,2008-10-31,783325
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2008-11-14,1174922
XEL,Xcel Energy Inc,Utilities,MultiUtilities,,72903
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,,743988
XL,XL Capital,Financials,Property & Casualty Insurance,,875159
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,2011-11-01,1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-10-06,1041061
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment & Services,,1136869
ZION,Zions Bancorp,Financials,Banks,,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,1555280
